#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
Bartonella fuyuanensis	Bacteria	Pseudomonadota	Alphaproteobacteria	1.94474	-	-	-	1
Bartonella gabonensis	Bacteria	Pseudomonadota	Alphaproteobacteria	1.97118	-	-	-	1
Bartonella gliris	Bacteria	Pseudomonadota	Alphaproteobacteria	2.07572	-	-	-	1
Bartonella grahamii	Bacteria	Pseudomonadota	Alphaproteobacteria	2.36952	1	-	1	7
Bartonella harrusi	Bacteria	Pseudomonadota	Alphaproteobacteria	2.26508	1	-	1	1
Bartonella henselae	Bacteria	Pseudomonadota	Alphaproteobacteria	1.90538	1	-	-	55
Bartonella koehlerae	Bacteria	Pseudomonadota	Alphaproteobacteria	1.74711	-	-	-	2
Bartonella kosoyi	Bacteria	Pseudomonadota	Alphaproteobacteria	2.27616	1	-	1	1
Bartonella krasnovii	Bacteria	Pseudomonadota	Alphaproteobacteria	2.18662	1	-	1	15
Bartonella machadoae	Bacteria	Pseudomonadota	Alphaproteobacteria	2.7086	1	-	-	1
Bartonella massiliensis	Bacteria	Pseudomonadota	Alphaproteobacteria	2.27769	-	-	-	1
Bartonella mastomydis	Bacteria	Pseudomonadota	Alphaproteobacteria	2.04503	-	-	-	1
Bartonella melophagi	Bacteria	Pseudomonadota	Alphaproteobacteria	1.57123	-	-	-	1
Bartonella phoceensis	Bacteria	Pseudomonadota	Alphaproteobacteria	1.82808	-	-	-	1
Bartonella queenslandensis	Bacteria	Pseudomonadota	Alphaproteobacteria	2.0341	-	-	-	2
Bartonella quintana	Bacteria	Pseudomonadota	Alphaproteobacteria	1.58868	1	-	-	25
Bartonella raoultii	Bacteria	Pseudomonadota	Alphaproteobacteria	1.95211	-	-	-	2
Bartonella rattaustraliani	Bacteria	Pseudomonadota	Alphaproteobacteria	2.15844	-	-	-	1
Bartonella rattimassiliensis	Bacteria	Pseudomonadota	Alphaproteobacteria	2.17065	-	-	-	2
Bartonella refiksaydamii	Bacteria	Pseudomonadota	Alphaproteobacteria	1.92486	-	-	-	1
Bartonella rochalimae	Bacteria	Pseudomonadota	Alphaproteobacteria	1.53414	-	-	-	1
Bartonella saheliensis	Bacteria	Pseudomonadota	Alphaproteobacteria	2.25876	-	-	-	1
Bartonella schoenbuchensis	Bacteria	Pseudomonadota	Alphaproteobacteria	1.68047	1	-	2	4
